lon,lat,temperature
109.5,32.25,837.28575867031
109.75,32.25,783.12864746527
110,32.25,780.68060746446
111.5,32.25,533.3702318477
112,32.25,486.11260906864
112.25,32.25,461.62015025089
112.5,32.25,439.45036014485
112.75,32.25,423.82564000001
113,32.25,412.44061876176
113.75,32.25,406.67560410109
114,32.25,429.45746012209
114.25,32.25,439.92139983484
114.5,32.25,466.36299312432
114.75,32.25,480.45983643142
115,32.25,491.82906673009
115.25,32.25,500.85593815516
115.5,32.25,519.18756650195
115.75,32.25,547.55117428567
116,32.25,570.27319276773
116.25,32.25,596.05376901084
116.5,32.25,618.28207060287
116.75,32.25,646.93151627746
117,32.25,668.87184250511
117.25,32.25,669.33065771595
117.5,32.25,653.43183720025
117.75,32.25,634.55253975184
118,32.25,620.11797008425
118.25,32.25,611.76881083719
118.5,32.25,603.49281555275
118.75,32.25,598.26601570653
119,32.25,589.63182154788
119.25,32.25,592.2601197012
119.5,32.25,595.29676023842
119.75,32.25,606.6734258492
120,32.25,616.67558389396
120.25,32.25,626.34913832394
120.5,32.25,633.4408762605
120.75,32.25,638.5102468085
121,32.25,639.63378395455
121.25,32.25,639.45408791002
121.5,32.25,637.50576153582
107,32.5,551.07471221737
107.25,32.5,568.47966016694
107.5,32.5,604.66464024959
107.75,32.5,654.04409527935
108,32.5,711.63495964729
108.25,32.5,759.16347871709
108.5,32.5,806.43613660711
108.75,32.5,844.7724758529
109,32.5,875.01822485256
109.25,32.5,902.21871998478
109.5,32.5,863.47113355533
109.75,32.5,810.77453869671
110,32.5,792.99192842205
110.25,32.5,760.84952810203
110.75,32.5,690.08466461427
111.5,32.5,530.18641178413
111.75,32.5,506.31598340651
112,32.5,487.43990889507
112.25,32.5,465.2551193611
112.5,32.5,448.84477539451
112.75,32.5,432.7651781322
113,32.5,420.41153594659
113.25,32.5,412.82298170422
113.5,32.5,410.28534216111
113.75,32.5,411.15734433969
114,32.5,431.6710434499
114.25,32.5,457.43890942214
114.5,32.5,468.26704967208
114.75,32.5,479.36093233603
115,32.5,492.95076729398
115.25,32.5,506.24874264858
115.5,32.5,519.07903197912
115.75,32.5,541.38540522174
116,32.5,573.73672473886
116.25,32.5,598.69526186208
116.5,32.5,633.14237670927
116.75,32.5,668.75990793601
117,32.5,684.91318702768
117.25,32.5,679.29333178974
117.5,32.5,661.60814165487
117.75,32.5,643.62017125966
118,32.5,627.54498320734
118.25,32.5,617.96093004756
118.5,32.5,609.26459647559
118.75,32.5,602.92014316352
119,32.5,595.16240291824
119.25,32.5,591.65717688709
119.5,32.5,598.54852574693
119.75,32.5,613.96246768325
120,32.5,627.83588519915
120.25,32.5,639.99583397056
120.5,32.5,647.18152239482
120.75,32.5,651.36230169959
121,32.5,651.1673708144
121.25,32.5,649.92825493514
121.5,32.5,646.63820154662
121.75,32.5,654.88716820129
107,32.75,586.82343223254
107.25,32.75,596.79103355277
107.5,32.75,632.61294804315
107.75,32.75,683.01413955861
108,32.75,734.96015128133
108.25,32.75,789.79517291746
108.5,32.75,837.68275323308
108.75,32.75,875.38012626198
109,32.75,914.6846803811
109.25,32.75,899.79246374639
109.5,32.75,874.72505854133
109.75,32.75,825.15824569477
110,32.75,800.37932447818
110.25,32.75,776.17543277465
110.5,32.75,721.68427572153
110.75,32.75,718.91401953049
111,32.75,687.55668698143
111.25,32.75,655.13601321156
111.5,32.75,619.68865287403
111.75,32.75,503.09130827822
112,32.75,495.02472184767
112.25,32.75,474.61698182217
112.5,32.75,458.40179078039
112.75,32.75,441.66009194814
113,32.75,428.66203578327
113.25,32.75,420.8358191571
113.5,32.75,417.1435708226
113.75,32.75,416.90460169869
114,32.75,447.38993936142
114.25,32.75,456.64835686314
114.5,32.75,467.0690561514
114.75,32.75,480.03537033259
115,32.75,489.435438503
115.25,32.75,504.14824744729
115.5,32.75,514.65755248468
115.75,32.75,537.59967360633
116,32.75,563.2574327851
116.25,32.75,595.64757327037
116.5,32.75,635.83242342078
116.75,32.75,677.69654676449
117,32.75,688.2107114416
117.25,32.75,674.92120378269
117.5,32.75,659.97227166381
117.75,32.75,647.03951805612
118,32.75,634.36947811771
118.25,32.75,622.80364733538
118.5,32.75,618.90640353658
118.75,32.75,613.70156088695
119,32.75,599.9275237957
119.25,32.75,590.750376166
119.5,32.75,613.91575316028
119.75,32.75,627.68391613709
120,32.75,643.46737298227
120.25,32.75,655.53840334803
120.5,32.75,666.25105909175
120.75,32.75,669.26997199295
121,32.75,666.0162053917
121.25,32.75,664.20707622454
121.5,32.75,658.96855598062
